id;product_name;description;currency_code;category_id
1;15-inch MacBook Air;Chip M3 menghadirkan kemampuan yang lebih hebat ke MacBook Air 15 inci super portabel. Dengan kekuatan baterai hingga 18 jam, Anda bisa membawanya ke mana saja dan bekerja dan bermain dengan cepat.;IDR;1
2;13-inch MacBook Air;Chip M3 menghadirkan kemampuan yang lebih hebat ke MacBook Air 13 inci super portabel. Dengan kekuatan baterai hingga 18 jam, Anda bisa membawanya ke mana saja dan bekerja dan bermain dengan cepat.;IDR;1
3;13-inch MacBook Air (M1 Chip);Laptop Apple yang paling tipis dan ringan, bertenaga super dengan chip Apple M1. Tuntaskan berbagai proyek Anda dengan CPU 8-core super cepat. Tingkatkan aplikasi dan game kaya grafis ke level lebih tinggi dengan GPU hingga 8-core. Dan percepat tugas pembelajaran mesin dengan Neural Engine 16-core.;IDR;1
4;16-inch MacBook Pro M3 Max;MacBook Pro 16 inci melesat berkat M3 Pro dan M3 Max, chip yang sepenuhnya canggih serta menghadirkan kemampuan dan performa masif untuk alur kerja paling ekstrem. Dengan kekuatan baterai terbaik di kelasnya — hingga 22 jam — dan layar Liquid Retina XDR menawan, ini adalah laptop profesional yang tak ada tandingannya. Kini dalam warna baru: Hitam Kosmik.;IDR;1
5;16-inch MacBook Pro M3 Pro;MacBook Pro 16 inci melesat berkat M3 Pro dan M3 Max, chip yang sepenuhnya canggih serta menghadirkan kemampuan dan performa masif untuk alur kerja paling ekstrem. Dengan kekuatan baterai terbaik di kelasnya — hingga 22 jam — dan layar Liquid Retina XDR menawan, ini adalah laptop profesional yang tak ada tandingannya. Kini dalam warna baru: Hitam Kosmik.;IDR;1
6;14-inch MacBook Pro M3 Max;MacBook Pro 14 inci melesat berkat M3 Pro dan M3 Max, chip yang sepenuhnya canggih dan mendorong performa yang lebih besar untuk alur kerja yang lebih berat. Dengan kekuatan baterai terbaik di kelasnya — hingga 18 jam — dan layar Liquid Retina XDR menawan, ini adalah laptop profesional yang tak ada tandingannya. Kini dalam warna baru: Hitam Kosmik.;IDR;1
7;14-inch MacBook Pro M3 Pro;MacBook Pro 14 inci melesat berkat M3 Pro dan M3 Max, chip yang sepenuhnya canggih dan mendorong performa yang lebih besar untuk alur kerja yang lebih berat. Dengan kekuatan baterai terbaik di kelasnya — hingga 18 jam — dan layar Liquid Retina XDR menawan, ini adalah laptop profesional yang tak ada tandingannya. Kini dalam warna baru: Hitam Kosmik.;IDR;1
8;14-inch MacBook Pro M3;MacBook Pro 14 inci melesat berkat M3, chip luar biasa canggih yang menghadirkan kecepatan dan kemampuan yang tidak main-main. Dengan kekuatan baterai terbaik di kelasnya — hingga 22 jam — dan layar Liquid Retina XDR menawan, ini adalah laptop profesional yang tak ada tandingannya.;IDR;1
9;16-inch MacBook Pro M2;MacBook Pro 16 inci dengan M2 Pro dan M2 Max membawa daya dan kecepatan ke level berikutnya, saat tersambung ke daya atau menggunakan baterai. Dengan layar Liquid Retina XDR yang memukau, semua port yang Anda perlukan, dan kekuatan baterai sepanjang hari (1) — laptop pro ini siap mendampingi Anda ke mana pun.;IDR;1
10;14-inch MacBook Pro M2;MacBook Pro 14 inci dengan M2 Pro dan M2 Max membawa daya dan kecepatan ke level berikutnya, saat tersambung ke daya atau menggunakan baterai. Dengan layar Liquid Retina XDR yang memukau, semua port yang Anda perlukan, dan kekuatan baterai sepanjang hari (1) — laptop pro ini siap mendampingi Anda ke mana pun.;IDR;1
11;24-inch iMac with Retina 4.5K display M3;iMac. Desktop serba bisa terbaik. Bertenaga super berkat chip M4 sehingga penelusuran dan multitasking di berbagai aplikasi terasa semakin cepat. Dengan layar Retina 4.5K 24 inci yang mengagumkan dalam desain ikonik serta kamera, mikrofon, dan speaker canggih. iMac brilian untuk bermain dan bekerja.;IDR;2
